,id,date_of_sale, price ,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,price category,lat_long,Month_Year
0,7129300520,10/13/2014," $221,900.00 ",3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,Middle price,"(47.5112, -122.257)",2014-10
1,6414100192,12/9/2014," $538,000.00 ",3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,High price,"(47.721, -122.319)",2014-12
2,5631500400,2/25/2015," $180,000.00 ",2,1,770,10000,1,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,Low price,"(47.7379, -122.233)",2015-02
3,2487200875,12/9/2014," $604,000.00 ",4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,High price,"(47.5208, -122.393)",2014-12
4,1954400510,2/18/2015," $510,000.00 ",3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,High price,"(47.6168, -122.045)",2015-02
5,7237550310,5/12/2014," $1,225,000.00 ",4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,High price,"(47.6561, -122.005)",2014-05
6,1321400060,6/27/2014," $257,500.00 ",3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,Middle price,"(47.3097, -122.327)",2014-06
7,2008000270,1/15/2015," $291,850.00 ",3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,Middle price,"(47.4095, -122.315)",2015-01
8,2414600126,4/15/2015," $229,500.00 ",3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,Middle price,"(47.5123, -122.337)",2015-04
9,3793500160,3/12/2015," $323,000.00 ",3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,Middle price,"(47.3684, -122.031)",2015-03
10,1736800520,4/3/2015," $662,500.00 ",3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,High price,"(47.6007, -122.145)",2015-04
11,9212900260,5/27/2014," $468,000.00 ",2,1,1160,6000,1,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,Middle price,"(47.69, -122.292)",2014-05
12,114101516,5/28/2014," $310,000.00 ",3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,Middle price,"(47.7558, -122.229)",2014-05
13,6054650070,10/7/2014," $400,000.00 ",3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,Middle price,"(47.6127, -122.045)",2014-10
14,1175000570,3/12/2015," $530,000.00 ",5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,High price,"(47.67, -122.394)",2015-03
15,9297300055,1/24/2015," $650,000.00 ",4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,High price,"(47.5714, -122.375)",2015-01
16,1875500060,7/31/2014," $395,000.00 ",3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,Middle price,"(47.7277, -121.962)",2014-07
17,6865200140,5/29/2014," $485,000.00 ",4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,Middle price,"(47.6648, -122.343)",2014-05
18,16000397,12/5/2014," $189,000.00 ",2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,Low price,"(47.3089, -122.21)",2014-12
19,7983200060,4/24/2015," $230,000.00 ",3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,Middle price,"(47.3343, -122.306)",2015-04
20,6300500875,5/14/2014," $385,000.00 ",4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,Middle price,"(47.7025, -122.341)",2014-05
21,2524049179,8/26/2014," $2,000,000.00 ",3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,High price,"(47.5316, -122.233)",2014-08
22,7137970340,7/3/2014," $285,000.00 ",5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,Middle price,"(47.3266, -122.169)",2014-07
23,8091400200,5/16/2014," $252,700.00 ",2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,Middle price,"(47.3533, -122.166)",2014-05
24,3814700200,11/20/2014," $329,000.00 ",3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,Middle price,"(47.3739, -122.172)",2014-11
25,1202000200,11/3/2014," $233,000.00 ",3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,Middle price,"(47.3048, -122.218)",2014-11
26,1794500383,6/26/2014," $937,000.00 ",3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,High price,"(47.6386, -122.36)",2014-06
27,3303700376,12/1/2014," $667,000.00 ",3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,High price,"(47.6221, -122.314)",2014-12
28,5101402488,6/24/2014," $438,000.00 ",3,1.75,1520,6380,1,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,Middle price,"(47.695, -122.304)",2014-06
29,1873100390,3/2/2015," $719,000.00 ",4,2.5,2570,7173,2,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,High price,"(47.7073, -122.11)",2015-03
30,8562750320,11/10/2014," $580,500.00 ",3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,High price,"(47.5391, -122.07)",2014-11
31,2426039314,12/1/2014," $280,000.00 ",2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,Middle price,"(47.7274, -122.357)",2014-12
